,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-03-17 04:00:00-04:00,277.89,278.28,276.25,277.64,0,0,0
2023-03-17 05:00:00-04:00,277.64,277.74,276.6,276.8,0,0,0
2023-03-17 06:00:00-04:00,276.8,277.0,276.32,276.99,0,0,0
2023-03-17 07:00:00-04:00,276.96,278.17,276.85,277.2,0,0,0
2023-03-17 08:00:00-04:00,277.2,278.87,276.05,276.52,0,0,0
2023-03-17 09:00:00-04:00,276.49,278.27,276.29,278.15,0,0,0
2023-03-17 09:30:00-04:00,278.260009765625,283.3299865722656,277.3900146484375,282.2300109863281,22759763,0,0
2023-03-17 10:30:00-04:00,282.2300109863281,282.75,276.95001220703125,277.52288818359375,7817199,0,0
2023-03-17 11:30:00-04:00,277.5400085449219,278.4200134277344,276.3200988769531,277.739990234375,4825699,0,0
2023-03-17 12:30:00-04:00,277.7699890136719,280.8699951171875,277.7557067871094,279.989990234375,4429853,0,0
2023-03-17 13:30:00-04:00,280.0150146484375,281.2099914550781,278.19000244140625,278.2799987792969,4129482,0,0
2023-03-17 14:30:00-04:00,278.2900085449219,279.5199890136719,276.8900146484375,279.0799865722656,4892881,0,0
2023-03-17 15:30:00-04:00,279.04998779296875,279.42999267578125,277.3900146484375,279.42999267578125,5088590,0,0
2023-03-17 16:00:00-04:00,279.42,279.72,278.025,279.46,0,0,0
2023-03-17 17:00:00-04:00,278.59,294.55838,277.6079,279.4,0,0,0
2023-03-17 18:00:00-04:00,279.4,279.55,279.1,279.16,0,0,0
2023-03-17 19:00:00-04:00,279.16,279.43,279.06,279.25,0,0,0
