,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-03-17 04:00:00-04:00,100.0,101.33,100.0,101.13,0,0,0
2023-03-17 05:00:00-04:00,101.13,101.34,100.68,100.85,0,0,0
2023-03-17 06:00:00-04:00,100.75,101.0,100.55,100.73,0,0,0
2023-03-17 07:00:00-04:00,100.74,100.79,100.26,100.26,0,0,0
2023-03-17 08:00:00-04:00,100.31,101.37,99.8312,99.95,0,0,0
2023-03-17 09:00:00-04:00,99.96,100.49,99.82,100.25,0,0,0
2023-03-17 09:30:00-04:00,100.83999633789062,103.69999694824219,100.75,102.2699966430664,17149446,0,0
2023-03-17 10:30:00-04:00,102.2699966430664,102.56900024414062,101.53500366210938,101.68000030517578,7381339,0,0
2023-03-17 11:30:00-04:00,101.67500305175781,102.30169677734375,101.125,102.13999938964844,3930350,0,0
2023-03-17 12:30:00-04:00,102.13999938964844,102.57499694824219,102.06999969482422,102.33999633789062,3098808,0,0
2023-03-17 13:30:00-04:00,102.33159637451172,102.69999694824219,101.96499633789062,102.01000213623047,5016406,0,0
2023-03-17 14:30:00-04:00,102.0,102.5,101.69000244140625,102.38500213623047,4894206,0,0
2023-03-17 15:30:00-04:00,102.38500213623047,102.69000244140625,102.02100372314453,102.5,5622268,0,0
2023-03-17 16:00:00-04:00,102.5,102.64,102.0194,102.12,0,0,0
2023-03-17 17:00:00-04:00,101.07,102.46,101.07,102.1,0,0,0
2023-03-17 18:00:00-04:00,102.11,102.4,102.05,102.2,0,0,0
2023-03-17 19:00:00-04:00,102.11,102.46,102.11,102.12,0,0,0
